price_level,n_seats,mkting_source,season,location,setconcerts,multi_tickets,concert_name,settickets,who,what,ID
1.0,2,unknown,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRWT
3.0,4,philharmonia website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuQUg
3.0,1,unknown,2012,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuRBI
2.0,1,word of mouth,2013,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuPer
2.0,2,unknown,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRUr
1.0,2,word of mouth,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuNsg
4.0,3,philharmonia website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRAq
1.0,1,postcard or brochure,2013,peninsula,1.0,0,999,999.0,unknown,999,001i000000NuRyL
2.0,2,postcard or brochure,2013,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuRET
3.0,3,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRD4
3.0,1,city box office newsletter,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000oks4i
4.0,1,other,2013,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuRGM
999.0,2,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuOk1
1.0,1,unknown,2013,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000oks56
3.0,1,other,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuQMA
2.0,2,unknown,2011,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuQnJ
3.0,2,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuREZ
1.0,2,unknown,2011,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuRX1
4.0,2,philharmonia website,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuRdu
3.0,2,kdfc radio,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000aUDpI
3.0,2,unknown,2012,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuRPu
3.0,2,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuR95
3.0,2,unknown,2011,family concert,3.0,0,999,999.0,unknown,999,001i000000NuRIa
1.0,12,unknown,2011,san francisco,3.0,1,999,999.0,unknown,999,001i000000NuRVk
4.0,1,philharmonia website,2013,san francisco,2.0,0,999,999.0,unknown,999,001i000000oks4N
4.0,1,unknown,2012,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuQSw
4.0,2,other,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuRvE
3.0,2,unknown,2010,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuQxG
3.0,4,unknown,2011,berkeley sunday,5.0,1,999,999.0,unknown,999,001i000000NuRWF
3.0,2,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuNsl
1.0,1,unknown,2012,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuQV1
4.0,2,postcard or brochure,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuRDp
4.0,2,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuROi
3.0,4,other print,2013,san francisco,6.0,0,999,999.0,unknown,999,001i000000aSCAl
999.0,2,unknown,2011,berkeley saturday,7.0,0,999,999.0,unknown,999,001i000000NuRWd
4.0,2,unknown,2010,peninsula,8.0,0,999,999.0,unknown,999,001i000000NuOeX
4.0,2,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRSd
1.0,2,unknown,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuP5H
3.0,2,unknown,2011,berkeley saturday,7.0,0,999,999.0,unknown,999,001i000000NuOWt
999.0,2,unknown,2011,peninsula,7.0,0,999,999.0,unknown,999,001i000000NuRWS
4.0,2,unknown,2011,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRAZ
2.0,2,unknown,2011,unknown,3.0,0,999,999.0,unknown,999,001i000000NuRVa
2.0,2,unknown,2011,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuQxS
2.0,2,unknown,2011,berkeley saturday,7.0,0,999,999.0,unknown,999,001i000000NuOSw
999.0,2,unknown,2012,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuRTo
4.0,1,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000LhyZR
2.0,2,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuQQu
4.0,1,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000Lhydo
4.0,2,unknown,2011,san francisco,7.0,0,999,999.0,unknown,999,001i000000Lhyam
4.0,1,unknown,2012,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRQQ
1.0,1,facebook or twitter,2013,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000oks2J
2.0,1,unknown,2011,peninsula,4.0,0,999,999.0,unknown,999,001i000000NuRW2
4.0,2,unknown,2012,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000NuRGH
999.0,2,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuRUC
1.0,2,unknown,2010,berkeley sunday,8.0,0,999,999.0,unknown,999,001i000000NuP4p
3.0,2,unknown,2013,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuRUV
3.0,2,philharmonia website,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRG0
1.0,2,unknown,2010,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuQve
4.0,1,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuQv0
999.0,1,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuQco
2.0,2,unknown,2010,berkeley sunday,8.0,0,999,999.0,unknown,999,001i000000NuRVC
4.0,2,philharmonia website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuO2W
2.0,1,unknown,2011,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuRKZ
4.0,2,unknown,2010,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuQx8
2.0,2,unknown,2011,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuPT0
3.0,2,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuP04
3.0,2,unknown,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuNg1
999.0,1,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuRUU
3.0,1,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuO2Q
4.0,1,unknown,2010,san francisco,8.0,0,999,999.0,unknown,999,001i000000NuOOn
4.0,2,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000Li94R
2.0,1,postcard or brochure,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRkC
2.0,3,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000LhyUk
4.0,1,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuOT0
1.0,1,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuRVD
4.0,1,unknown,2010,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuPrA
999.0,3,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000LhyYc
2.0,2,unknown,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuQsH
4.0,1,unknown,2010,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuQxB
4.0,2,unknown,2013,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuPLa
3.0,1,unknown,2012,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuRFN
4.0,2,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000LhyVn
3.0,2,unknown,2011,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuRMR
4.0,1,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuPwA
2.0,2,philharmonia website,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuQU3
3.0,2,unknown,2012,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuNDm
3.0,6,unknown,2012,berkeley sunday,2.0,1,999,999.0,unknown,999,001i000000NuRQq
999.0,2,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRT1
2.0,2,unknown,2011,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuRJJ
4.0,2,unknown,2012,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuR8c
1.0,2,unknown,2011,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000NuRU5
2.0,1,unknown,2010,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuRVI
2.0,2,unknown,2012,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuRQd
4.0,2,unknown,2010,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuNr3
4.0,2,unknown,2010,peninsula,1.0,0,999,999.0,unknown,999,001i000000NuOlF
4.0,2,unknown,2011,berkeley sunday,7.0,0,999,999.0,unknown,999,001i000000NuNXT
0.0,2,unknown,2011,peninsula,4.0,0,999,999.0,unknown,999,001i000000NuRKK
1.0,1,unknown,2013,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuQcv
3.0,2,unknown,2010,san francisco,5.0,0,999,999.0,unknown,999,001i000000LhyQr
2.0,2,san francisco chronicle,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000oks2h
2.0,1,unknown,2011,berkeley sunday,7.0,0,999,999.0,unknown,999,001i000000NuQbZ
2.0,1,unknown,2011,berkeley saturday,7.0,0,999,999.0,unknown,999,001i000000LhybD
4.0,2,unknown,2012,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRPS
4.0,1,unknown,2013,san francisco,6.0,0,999,999.0,unknown,999,001i000000q7wB7
1.0,1,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuOBf
4.0,1,unknown,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000q7wAY
2.0,1,unknown,2012,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRRJ
2.0,2,philharmonia website,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuR0h
3.0,2,philharmonia website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuQik
3.0,2,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuNmN
4.0,1,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuPbE
999.0,2,unknown,2012,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuRTB
1.0,2,unknown,2011,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000NuROT
3.0,2,city box office newsletter,2013,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuOys
4.0,2,city box office newsletter,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuSAV
3.0,2,unknown,2012,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuOpV
4.0,2,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuNlp
4.0,1,unknown,2011,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuNli
3.0,3,unknown,2011,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRS8
4.0,2,postcard or brochure,2013,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuQS5
4.0,1,unknown,2011,berkeley sunday,7.0,0,999,999.0,unknown,999,001i000000LhyXd
4.0,6,unknown,2012,family concert,5.0,1,999,999.0,unknown,999,001i000000NuRFk
4.0,1,unknown,2010,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuR2K
3.0,4,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuPFK
4.0,2,unknown,2012,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuQnl
2.0,1,unknown,2012,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuREx
4.0,2,city box office special offer email,2013,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000oks3a
4.0,4,unknown,2011,peninsula,4.0,1,999,999.0,unknown,999,001i000000NuRJo
2.0,3,unknown,2010,peninsula,5.0,0,999,999.0,unknown,999,001i000000NuO59
2.0,2,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuRVH
999.0,1,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuOSQ
999.0,2,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuRUw
4.0,2,philharmonia website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000oks1l
4.0,2,unknown,2012,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuOP0
1.0,2,unknown,2012,peninsula,3.0,0,999,999.0,unknown,999,001i000000NuRQc
1.0,1,unknown,2011,peninsula,7.0,0,999,999.0,unknown,999,001i000000NuPF5
4.0,1,unknown,2012,peninsula,3.0,0,999,999.0,unknown,999,001i000000NuRPb
4.0,1,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuR1T
3.0,2,unknown,2013,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000oks4x
4.0,1,unknown,2011,unknown,5.0,0,999,999.0,unknown,999,001i000000NuQky
3.0,2,unknown,2010,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuOys
3.0,2,other,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuQlU
1.0,2,kdfc radio,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuOVA
4.0,2,unknown,2012,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuQTw
4.0,3,philharmonia website,2013,berkeley saturday,6.0,1,999,999.0,unknown,999,001i000000NuQnl
3.0,2,unknown,2012,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000NuRRW
3.0,1,unknown,2010,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuQPA
4.0,1,unknown,2011,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuRK9
4.0,2,word of mouth,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000oks3m
1.0,2,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000Lhybl
4.0,1,unknown,2011,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuNnv
3.0,1,other,2013,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuR7F
4.0,2,unknown,2012,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuQMb
2.0,2,unknown,2012,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRAf
2.0,4,unknown,2011,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuQqi
1.0,2,unknown,2012,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuPNv
4.0,4,unknown,2010,berkeley saturday,8.0,0,999,999.0,unknown,999,001i000000NuR1w
3.0,2,unknown,2010,peninsula,8.0,0,999,999.0,unknown,999,001i000000NuRTO
4.0,1,unknown,2012,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuQhY
1.0,2,unknown,2012,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuRDE
3.0,2,browsing city box office website,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000oks4G
4.0,2,other,2013,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuRL5
4.0,1,unknown,2011,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRDr
2.0,2,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuPer
1.0,2,philharmonia website,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000ZtAKC
3.0,1,unknown,2012,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuOWl
4.0,3,unknown,2011,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuOST
1.0,1,unknown,2012,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuRCn
2.0,2,word of mouth,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuQS5
3.0,2,unknown,2011,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuQZw
3.0,2,philharmonia website,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000oks2R
1.0,2,unknown,2010,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuOrg
3.0,1,postcard or brochure,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuQv6
1.0,2,unknown,2012,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuRCY
999.0,2,unknown,2012,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuR8z
4.0,1,unknown,2010,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuQ7k
4.0,2,unknown,2011,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuQR1
4.0,2,unknown,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuPPp
4.0,4,philharmonia website,2013,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000oks3q
2.0,1,unknown,2012,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuOpV
2.0,2,unknown,2011,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuR77
1.0,2,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuQ1c
4.0,2,unknown,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000q7wAt
999.0,3,unknown,2012,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuRTy
4.0,3,unknown,2011,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000Lhya0
3.0,2,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuOQJ
4.0,2,web search,2013,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000oks3J
4.0,1,unknown,2011,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuRC2
4.0,1,unknown,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRVp
2.0,2,other,2013,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000oks2s
999.0,2,unknown,2011,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuRWb
4.0,5,unknown,2011,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000NuRKh
999.0,2,unknown,2012,peninsula,3.0,0,999,999.0,unknown,999,001i000000NuR92
4.0,1,unknown,2011,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000NuRIq
4.0,2,philharmonia website,2013,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000oks31
4.0,2,unknown,2010,berkeley sunday,7.0,0,999,999.0,unknown,999,001i000000NuR3k
4.0,4,unknown,2012,family concert,5.0,1,999,999.0,unknown,999,001i000000NuRQU
4.0,2,postcard or brochure,2013,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuQnl
4.0,1,word of mouth,2013,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000bV1Ra
4.0,2,unknown,2011,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuRM6
3.0,1,unknown,2012,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuRGt
1.0,2,unknown,2010,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuPWF
4.0,1,word of mouth,2013,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuR1t
4.0,2,other,2013,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000oks4X
4.0,2,word of mouth,2013,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuRMh
3.0,2,unknown,2010,san francisco,5.0,0,999,999.0,unknown,999,001i000000LhyZJ
2.0,2,unknown,2010,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuR3Z
4.0,4,san francisco chronicle,2013,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRNQ
4.0,2,unknown,2011,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRKy
4.0,1,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuR1T
4.0,1,unknown,2013,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000LhyVr
1.0,2,unknown,2011,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRNR
4.0,2,unknown,2010,berkeley saturday,8.0,0,999,999.0,unknown,999,001i000000NuQsx
2.0,1,unknown,2011,peninsula,4.0,0,999,999.0,unknown,999,001i000000NuRW0
3.0,4,philharmonia website,2013,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000oks2B
3.0,1,postcard or brochure,2013,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuNUu
999.0,2,unknown,2012,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuRU5
3.0,1,unknown,2011,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000NuRO4
4.0,1,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRBM
4.0,2,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRMm
4.0,2,postcard or brochure,2013,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuRMU
3.0,2,unknown,2013,san francisco,4.0,0,999,999.0,unknown,999,001i000000oks4R
4.0,1,kdfc radio,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000oks1Q
4.0,2,unknown,2011,berkeley sunday,4.0,0,999,999.0,unknown,999,001i000000NuRJX
4.0,2,unknown,2010,san francisco,1.0,0,999,999.0,unknown,999,001i000000Lhydj
3.0,2,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRD3
3.0,1,city box office special offer email,2013,berkeley sunday,2.0,0,999,999.0,unknown,999,001i000000oks4M
3.0,8,unknown,2011,peninsula,2.0,1,999,999.0,unknown,999,001i000000NuRVQ
3.0,3,philharmonia website,2013,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuQZe
3.0,6,unknown,2011,family concert,3.0,1,999,999.0,unknown,999,001i000000Li96Z
4.0,1,unknown,2010,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuQxC
4.0,2,unknown,2011,peninsula,7.0,0,999,999.0,unknown,999,001i000000NuQVb
4.0,1,new york times,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRzh
1.0,1,unknown,2011,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuR7E
3.0,2,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuOVW
4.0,1,unknown,2013,san francisco,3.0,0,999,999.0,unknown,999,001i000000q7wB8
4.0,1,unknown,2012,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuREn
2.0,2,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRAT
1.0,2,philharmonia website,2013,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuP2W
999.0,2,unknown,2010,san francisco,8.0,0,999,999.0,unknown,999,001i000000NuOyT
1.0,2,other,2013,san francisco,2.0,0,999,999.0,unknown,999,001i000000oks1M
1.0,4,other,2013,san francisco,4.0,0,999,999.0,unknown,999,001i000000oks1M
4.0,1,unknown,2011,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRLJ
4.0,1,kdfc radio,2013,peninsula,2.0,0,999,999.0,unknown,999,001i000000NuR46
4.0,1,unknown,2010,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuQxa
1.0,2,unknown,2011,berkeley sunday,3.0,0,999,999.0,unknown,999,001i000000NuRRd
2.0,2,unknown,2012,san francisco,3.0,0,999,999.0,unknown,999,001i000000LhySI
1.0,2,kdfc radio,2013,berkeley sunday,5.0,0,999,999.0,unknown,999,001i000000oks4h
2.0,2,unknown,2010,san francisco,3.0,0,999,999.0,unknown,999,001i000000NuOPO
1.0,3,unknown,2012,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuRO3
3.0,4,unknown,2011,berkeley saturday,2.0,1,999,999.0,unknown,999,001i000000NuQoL
999.0,1,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000LhyVs
3.0,1,philharmonia website,2013,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRRc
4.0,2,unknown,2012,berkeley saturday,3.0,1,999,999.0,unknown,999,001i000000NuREz
3.0,2,unknown,2012,san francisco,5.0,0,999,999.0,unknown,999,001i000000NuRGK
4.0,2,philharmonia website,2013,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000oks3k
4.0,3,unknown,2012,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRRc
2.0,2,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRIX
4.0,2,unknown,2011,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuRIn
999.0,1,unknown,2012,berkeley saturday,4.0,0,999,999.0,unknown,999,001i000000NuRUb
4.0,2,unknown,2011,unknown,3.0,0,999,999.0,unknown,999,001i000000NuiUN
4.0,1,unknown,2011,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuRSb
4.0,1,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRGx
3.0,2,unknown,2012,berkeley saturday,6.0,0,999,999.0,unknown,999,001i000000NuRQv
