label,billing_city,relationship,amount_2013,amount_lifetime,n_donations_life,first_donated,season,package,n_seats,location,section,price_level,subscription_tier,multiple_subs,ID
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1996,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1998,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1997,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1993,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1994,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
0.0,menlo park,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQa2
1.0,el sobrante,,0.0,1800.0,3,2008-10-03 00:00:00,999,,,,,,,0,001i000000NuQYW
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQKp
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPvE
0.0,piedmont,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQ11
0.0,san francisco,,0.0,450.0,3,2004-11-30 00:00:00,999,,,,,,,0,001i000000NuQ05
0.0,davis,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPmu
1.0,sebastopol,,0.0,0.0,0,,2013,Trio A,1.0,berkeley sunday,,4.0,0.5,0,001i000000P5kdM
0.0,oakland,,0.0,0.0,0,,999,,,,,,,0,001i000000NuNYK
0.0,huntington beach,,0.0,0.0,0,,999,,,,,,,0,001i000000NuNeM
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuNvl
0.0,saint helena,,0.0,81.0,1,1995-05-05 00:00:00,1993,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000NuOKc
0.0,saint helena,,0.0,81.0,1,1995-05-05 00:00:00,1994,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000NuOKc
0.0,saint helena,,0.0,81.0,1,1995-05-05 00:00:00,1996,Quartet,1.0,berkeley sunday,Orchestra,2.0,0.5,0,001i000000NuOKc
0.0,saint helena,,0.0,81.0,1,1995-05-05 00:00:00,1995,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000NuOKc
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2012,Full,2.0,san francisco,Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2004,Full,1.0,san francisco,,,1.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2007,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2013,Full,2.0,san francisco,,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2008,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2005,Full,2.0,san francisco,Orchestra Front,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1999,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2003,Full,1.0,san francisco,,,1.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1998,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1994,Full,2.0,berkeley saturday,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1997,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2000,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2002,Full,1.0,san francisco,,,1.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2009,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2001,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2010,Full,2.0,san francisco,Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2011,Full,2.0,san francisco,Orchestra,1.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1996,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,1995,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000Lhyc4
1.0,san francisco,,2000.0,34277.0,33,1995-04-05 00:00:00,2006,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000Lhyc4
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuR0m
0.0,palo alto,,0.0,0.0,0,,999,,,,,,,0,001i000000NuOTB
0.0,boulder,Vendor - Artistic,0.0,0.0,0,,999,,,,,,,0,001i000000MJzSu
0.0,carpinteria,,0.0,1400.0,4,1990-07-04 00:00:00,1993,Full,4.0,contra costa,Orchestra,2.0,4.0,0,001i000000NuOGJ
0.0,sausalito,,0.0,0.0,0,,999,,,,,,,0,001i000000NuO4o
0.0,oakland,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRFC
0.0,ross,,0.0,25100.0,7,2001-09-29 00:00:00,999,,,,,,,0,001i000000NuPUc
0.0,san francisco,,0.0,100.0,1,2001-09-29 00:00:00,999,,,,,,,0,001i000000NuPbb
0.0,napa,,0.0,0.0,0,,1997,Quartet,2.0,san francisco,Orchestra,2.0,1.0,0,001i000000NuO19
0.0,berkeley,,0.0,0.0,0,,999,,,,,,,0,001i000000NuR8r
0.0,palo alto,,0.0,0.0,0,,999,,,,,,,0,001i000000Y2FJH
0.0,san pablo,,0.0,0.0,0,,1998,Full,2.0,berkeley sunday,Balcony Rear,4.0,2.0,0,001i000000NuNou
0.0,san pablo,,0.0,0.0,0,,1999,Full,2.0,berkeley sunday,Balcony Rear,4.0,2.0,0,001i000000NuNou
0.0,san pablo,,0.0,0.0,0,,1997,Full,2.0,berkeley sunday,Balcony Rear,4.0,2.0,0,001i000000NuNou
0.0,san pablo,,0.0,0.0,0,,2000,Trio,2.0,berkeley sunday,Balcony Front,3.0,1.0,0,001i000000NuNou
0.0,union city,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPaW
0.0,redwood city,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRCB
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRK6
0.0,walnut creek,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRFZ
0.0,oakland,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPM5
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRkQ
0.0,san jose,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQCZ
0.0,oakland,,0.0,0.0,0,,1993,Full,2.0,berkeley saturday,Orchestra,2.0,2.0,0,001i000000NuOI7
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQRL
0.0,castro valley,,0.0,0.0,0,,999,,,,,,,0,001i0000018BZUN
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2004,Full,1.0,san francisco,,,1.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2003,Full,1.0,san francisco,,,1.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2012,Full,2.0,san francisco,Orchestra,0.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2001,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2011,Full,2.0,san francisco,Orchestra,0.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2000,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2006,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2008,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,1997,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,1999,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2005,Full,2.0,san francisco,Orchestra Front,1.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2002,Full,1.0,san francisco,,,1.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2013,Full,2.0,san francisco,,0.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2009,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2007,Full,2.0,san francisco,Premium Orchestra,1.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,2010,Full,2.0,san francisco,Orchestra,0.0,2.0,0,001i000000LhyV5
1.0,san francisco,,750.0,10100.0,32,1997-06-02 00:00:00,1998,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000LhyV5
0.0,berkeley,Education Participant,0.0,0.0,0,,999,,,,,,,0,001i000000MJzb7
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRZp
0.0,albany,,0.0,0.0,0,,999,,,,,,,0,001i000000NuR1l
0.0,oakland,Education Participant,2500.0,8000.0,5,2009-04-30 00:00:00,999,,,,,,,0,001i000000MJzYs
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuSAT
0.0,san francisco,,0.0,1040.0,4,2001-09-29 00:00:00,999,,,,,,,0,001i000000NuPVY
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRg0
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQVk
0.0,san jose,,0.0,0.0,0,,1995,Quartet,2.0,peninsula,Balcony,4.0,1.0,0,001i000000NuOaU
0.0,san jose,,0.0,0.0,0,,1996,Full,2.0,peninsula,Balcony,4.0,2.0,0,001i000000NuOaU
0.0,san jose,,0.0,0.0,0,,1994,Quartet,2.0,peninsula,Orchestra,2.0,1.0,0,001i000000NuOaU
0.0,berkeley,,0.0,0.0,0,,999,,,,,,,0,001i000000V25Uy
0.0,greenbrae,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQGQ
0.0,los angeles,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPJH
0.0,oakland,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPcO
0.0,thousand oaks,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRGM
0.0,berkeley,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPw6
0.0,walnut creek,,0.0,0.0,0,,2003,Quartet CC,1.0,contra costa,,,0.5,0,001i000000NuPos
0.0,berkeley,,0.0,0.0,0,,2009,Trio,2.0,berkeley saturday,Balcony Front,3.0,1.0,0,001i000000NuPNQ
0.0,berkeley,,0.0,0.0,0,,2001,Quartet,2.0,berkeley sunday,Orchestra,2.0,1.0,0,001i000000NuPNQ
0.0,berkeley,,0.0,0.0,0,,2004,Quartet,1.0,berkeley sunday,,,0.5,0,001i000000NuPNQ
0.0,berkeley,,0.0,0.0,0,,2002,Quartet,1.0,berkeley sunday,,,0.5,0,001i000000NuPNQ
0.0,berkeley,,0.0,0.0,0,,2003,Quartet,1.0,berkeley sunday,,,0.5,0,001i000000NuPNQ
0.0,berkeley,,0.0,0.0,0,,2005,Quartet,2.0,berkeley saturday,Orchestra Front,1.0,1.0,0,001i000000NuPNQ
0.0,danville,,0.0,0.0,0,,1995,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOi7
0.0,danville,,0.0,0.0,0,,1998,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOi7
0.0,danville,,0.0,0.0,0,,1996,Full,3.0,contra costa,Orchestra,2.0,3.0,0,001i000000NuOi7
0.0,danville,,0.0,0.0,0,,1999,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOi7
0.0,berkeley,,0.0,500.0,1,2001-09-29 00:00:00,999,,,,,,,0,001i000000NuP0J
0.0,chicago,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQ7z
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2011,Full,2.0,berkeley sunday,Orchestra,0.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1993,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2009,Full,2.0,berkeley sunday,Premium Orchestra,1.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2013,Full,1.0,berkeley sunday,,0.0,1.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2010,Full,2.0,berkeley sunday,Orchestra,0.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1994,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1997,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2005,Full,2.0,berkeley sunday,Orchestra Front,1.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2000,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2004,Full,1.0,berkeley sunday,,,1.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1998,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1999,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2003,Full,1.0,berkeley sunday,,,1.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2001,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2007,Full,2.0,berkeley sunday,Premium Orchestra,1.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1995,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,1996,Full,2.0,berkeley sunday,Orchestra,2.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2012,Full,1.0,berkeley sunday,Orchestra,0.0,1.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2002,Full,1.0,berkeley sunday,,,1.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2006,Full,2.0,berkeley sunday,Premium Orchestra,1.0,2.0,0,001i000000LhyTs
1.0,berkeley,,70.0,3295.0,33,1985-07-04 00:00:00,2008,Full,2.0,berkeley sunday,Premium Orchestra,1.0,2.0,0,001i000000LhyTs
0.0,point richmond,,0.0,3100.0,13,1985-07-04 00:00:00,1993,Full,2.0,peninsula,Orchestra,2.0,2.0,0,001i000000NuO2a
0.0,point richmond,,0.0,3100.0,13,1985-07-04 00:00:00,1996,Full,2.0,berkeley saturday,Orchestra,2.0,2.0,0,001i000000NuO2a
0.0,point richmond,,0.0,3100.0,13,1985-07-04 00:00:00,1998,Quartet,2.0,berkeley saturday,Orchestra,2.0,1.0,0,001i000000NuO2a
0.0,point richmond,,0.0,3100.0,13,1985-07-04 00:00:00,1997,Quartet,2.0,berkeley saturday,Orchestra,2.0,1.0,0,001i000000NuO2a
0.0,point richmond,,0.0,3100.0,13,1985-07-04 00:00:00,1995,Full,2.0,berkeley saturday,Orchestra,2.0,2.0,0,001i000000NuO2a
0.0,west long branch,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPlY
0.0,berkeley,,0.0,0.0,0,,999,,,,,,,0,001i000000NuOxb
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,1998,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,1999,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,2003,Quartet CC,1.0,contra costa,,,0.5,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,2001,Quartet CC,2.0,contra costa,Orchestra,2.0,1.0,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,1995,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,2000,Quartet CC,2.0,contra costa,Orchestra,2.0,1.0,0,001i000000NuOXB
0.0,benicia,,0.0,2668.0,4,1998-11-18 00:00:00,2002,Quartet CC,1.0,contra costa,,,0.5,0,001i000000NuOXB
0.0,san rafael,,0.0,0.0,0,,1995,Full,2.0,santa rosa,Balcony,4.0,2.0,0,001i000000NuOOl
0.0,san rafael,,0.0,0.0,0,,1994,Full,4.0,santa rosa,Balcony,4.0,4.0,0,001i000000NuOOl
0.0,lafayette,,0.0,0.0,0,,2008,Quartet CC,2.0,contra costa,Dress Circle,3.0,1.0,0,001i000000NuQEF
0.0,lafayette,,0.0,0.0,0,,2006,Quartet CC,2.0,contra costa,Dress Circle,3.0,1.0,0,001i000000NuQEF
0.0,lafayette,,0.0,0.0,0,,2010,CYO,2.0,contra costa,Orchestra,3.0,1.0,0,001i000000NuQEF
0.0,lafayette,,0.0,0.0,0,,2007,Quartet CC,2.0,contra costa,Dress Circle,3.0,1.0,0,001i000000NuQEF
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRm6
0.0,unknown,Education Participant,0.0,0.0,0,,999,,,,,,,0,001i000000MJzYv
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRkr
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRms
0.0,unknown,Vendor - Artistic,0.0,0.0,0,,999,,,,,,,0,001i000000MKXhC
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQuJ
0.0,palo alto,,1500.0,4000.0,3,2011-11-19 00:00:00,2009,Trio,1.0,peninsula,Premium Orchestra,1.0,0.5,0,001i000000LhyaJ
0.0,palo alto,,1500.0,4000.0,3,2011-11-19 00:00:00,2012,Full,1.0,peninsula,Orchestra,0.0,1.0,0,001i000000LhyaJ
0.0,palo alto,,1500.0,4000.0,3,2011-11-19 00:00:00,2010,Full,1.0,peninsula,Orchestra,0.0,1.0,0,001i000000LhyaJ
0.0,palo alto,,1500.0,4000.0,3,2011-11-19 00:00:00,2011,Quartet,1.0,peninsula,Orchestra,0.0,0.5,0,001i000000LhyaJ
0.0,los gatos,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQwB
0.0,san mateo,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRG9
0.0,moraga,,0.0,350.0,1,1989-07-04 00:00:00,1997,Full,2.0,contra costa,Orchestra,2.0,2.0,0,001i000000NuOBN
0.0,san francisco,Education Participant,0.0,0.0,0,,999,,,,,,,0,001i000000MJzTl
0.0,berkeley,,0.0,84.0,2,1987-07-04 00:00:00,999,,,,,,,0,001i000000NuNoi
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRiG
0.0,berkeley,,0.0,0.0,0,,2013,Trio B,2.0,berkeley saturday,,3.0,1.0,0,001i000000NuRUw
0.0,okemos,,0.0,50.0,1,1998-12-22 00:00:00,999,,,,,,,0,001i000000NuOsF
0.0,cocoa beach,,0.0,50.0,1,1996-10-29 00:00:00,1996,Full,2.0,san francisco,Dress Circle,3.0,2.0,0,001i000000NuNX8
0.0,cocoa beach,,0.0,50.0,1,1996-10-29 00:00:00,2004,Trio,1.0,san francisco,,,0.5,0,001i000000NuNX8
0.0,cocoa beach,,0.0,50.0,1,1996-10-29 00:00:00,1999,Full,2.0,san francisco,Dress Circle,3.0,2.0,0,001i000000NuNX8
0.0,cocoa beach,,0.0,50.0,1,1996-10-29 00:00:00,1998,Full,2.0,san francisco,Dress Circle,3.0,2.0,0,001i000000NuNX8
0.0,san francisco,,0.0,650.0,2,2002-10-26 00:00:00,999,,,,,,,0,001i000000NuPiM
0.0,walnut creek,,0.0,0.0,0,,2004,Quartet,1.0,berkeley sunday,,,0.5,0,001i000000NuPxN
0.0,berkeley,,0.0,0.0,0,,999,,,,,,,0,001i000000oks3J
0.0,san francisco,,0.0,0.0,0,,999,,,,,,,0,001i000000NuPmt
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRoG
0.0,menlo park,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQwE
0.0,redlands,,0.0,200.0,2,1999-12-31 00:00:00,999,,,,,,,0,001i000000NuP0U
0.0,denver,,0.0,0.0,0,,999,,,,,,,0,001i000000NuP4H
0.0,healdsburg,,0.0,0.0,0,,999,,,,,,,0,001i000000NuNYD
0.0,san francisco,,0.0,0.0,0,,1994,Quartet,2.0,san francisco,Balcony,4.0,1.0,0,001i000000NuOZg
0.0,800 aarhus,,0.0,50.0,1,1999-12-31 00:00:00,999,,,,,,,0,001i000000NuPDH
0.0,berkeley,,0.0,951.6,18,1985-07-04 00:00:00,2004,Full,1.0,berkeley sunday,,,1.0,0,001i000000NuO6a
0.0,berkeley,,0.0,951.6,18,1985-07-04 00:00:00,1996,Full,1.0,berkeley sunday,Orchestra,2.0,1.0,0,001i000000NuO6a
0.0,berkeley,,0.0,951.6,18,1985-07-04 00:00:00,1997,Full,1.0,berkeley sunday,Orchestra,2.0,1.0,0,001i000000NuO6a
0.0,berkeley,,0.0,951.6,18,1985-07-04 00:00:00,2002,Full,1.0,berkeley sunday,,,1.0,0,001i000000NuO6a
